uf;latitude;longitude;substancia
RR;3283;-63105;Ouro
RR;2238;-63198;Ouro
RR;2535;-63771;Ouro
RR;3021;-62971;Ouro
RR;3934;-62687;Ouro
GO;-13998;-49088;Ouro
AM;-485;-69532;Ouro
AM;-473;-69537;Ouro
AM;-453;-69527;Ouro
AM;-440;-69532;Ouro
AM;-403;-69548;Ouro
AM;-406;-69561;Ouro
AM;-376;-69631;Ouro
AM;-388;-69638;Ouro
AM;-327;-69623;Ouro
PA;-7680;-56158;Ouro
PA;-7865;-56563;Ouro
PA;-7212;-56727;Ouro
PA;-7140;-57338;Ouro
PA;-6328;-56199;Ouro
PA;-5587;-56709;Ouro
